date,kwh,is_weekend,hour,is_working_time,is_night_time,cost,discriminative_cost,prec,presMax,presMin,racha,sol,tmax,tmed,tmin,velmedia,dir_axis_1,dir_axis_2
2019-02-17,0.6050416666666667,1.0,11.5,0.4583333333333333,0.375,0.11073896112499998,0.09129779445833335,0.0,1019.5,1014.7999999999996,7.800000000000002,9.900000000000004,21.199999999999992,13.0,4.799999999999998,2.799999999999999,0.15959989503337937,0.9871817834144497
2019-02-18,0.31183333333333335,0.0,11.5,0.4583333333333333,0.375,0.05707391950000001,0.05605400283333334,0.0,1015.5999999999998,1011.2999999999996,5.799999999999998,1.7999999999999996,19.699999999999992,13.800000000000006,7.800000000000002,1.8999999999999992,1.0,-2.4492935982947054e-16
2019-02-19,0.41045833333333337,0.0,11.5,0.4583333333333333,0.375,0.07512495737500001,0.075665832375,0.0,1017.2999999999996,1014.5,5.0,7.199999999999998,19.300000000000008,14.399999999999997,9.599999999999996,1.8999999999999992,0.9490557470106683,0.3151082180236208
2019-02-20,0.29404166666666665,0.0,11.5,0.4583333333333333,0.375,0.053817564124999995,0.05219885579166667,0.0,1020.7000000000004,1017.0,6.099999999999998,9.599999999999996,20.89999999999999,13.899999999999999,6.900000000000003,1.8999999999999992,0.9917900138232459,0.127877161684506
2019-02-21,0.37575000000000003,0.0,11.5,0.4583333333333333,0.375,0.06877239525,0.06694335358333335,0.0,1026.0,1020.2999999999996,7.199999999999998,9.900000000000004,22.0,14.800000000000006,7.5,2.2000000000000006,1.0,-2.4492935982947054e-16
2019-02-22,0.3066666666666667,0.0,11.5,0.4583333333333333,0.375,0.05612828,0.05247657166666667,0.0,1026.9000000000003,1024.2000000000005,6.099999999999998,10.199999999999996,23.60000000000001,15.399999999999997,7.199999999999998,2.2000000000000006,1.0,-2.4492935982947054e-16
2019-02-23,0.20324999999999996,1.0,11.5,0.4583333333333333,0.375,0.03720023775,0.031326029416666665,0.0,1027.2000000000005,1022.5,6.699999999999999,9.300000000000004,23.39999999999999,14.800000000000006,6.3,2.2000000000000006,0.9009688679024196,0.4338837391175581
2019-02-24,0.18920833333333334,1.0,11.5,0.4583333333333333,0.375,0.034630233625000006,0.03217327529166667,0.0,1026.2999999999995,1022.0999999999998,7.800000000000002,10.5,23.7,14.800000000000006,5.900000000000002,1.7000000000000002,1.0,-2.4492935982947054e-16
2019-02-25,0.24424999999999994,0.0,11.5,0.4583333333333333,0.375,0.04470434474999999,0.042447761416666674,0.0,1026.5999999999997,1022.7999999999996,12.5,10.800000000000004,22.300000000000008,15.399999999999997,8.599999999999996,5.799999999999998,0.9269167573460212,0.3752670048793742
2019-02-26,0.17249999999999996,0.0,11.5,0.4583333333333333,0.375,0.031572157499999996,0.02796749083333334,0.0,1024.0,1020.9000000000002,10.300000000000004,10.5,24.60000000000001,15.800000000000006,6.900000000000003,2.5,0.8713187041233894,0.4907175520039378
2019-02-27,0.13912499999999997,0.0,11.5,0.4583333333333333,0.375,0.025463631375,0.022981214708333333,0.0,1025.2999999999995,1022.9000000000002,5.799999999999998,10.400000000000004,22.89999999999999,13.600000000000001,4.200000000000002,1.7000000000000002,1.0,-2.4492935982947054e-16
2019-02-28,0.14962499999999998,0.0,11.5,0.4583333333333333,0.375,0.027385414874999996,0.024051039875000003,,1026.0,1021.7999999999996,6.099999999999998,9.900000000000004,24.2,14.600000000000003,4.900000000000002,0.8000000000000003,0.15959989503337937,0.9871817834144497
2019-03-01,0.24554166666666663,0.0,11.5,0.4583333333333333,0.375,0.04494075462499999,0.042024629625000004,0.0,1022.5999999999998,1019.5999999999998,8.900000000000004,9.300000000000004,20.5,13.600000000000001,6.699999999999999,3.2999999999999985,0.22252093395631437,0.9749279121818235
2019-03-02,0.19062499999999996,1.0,11.5,0.4583333333333333,0.375,0.034889521874999996,0.032661230208333336,0.0,1023.9000000000002,1020.4000000000002,6.099999999999998,8.199999999999998,22.39999999999999,14.899999999999997,7.400000000000003,0.8000000000000003,1.0,-2.4492935982947054e-16
2019-03-03,0.27729166666666666,1.0,11.5,0.4583333333333333,0.375,0.050751861875,0.046016111875000015,0.0,1022.2999999999996,1017.5999999999998,7.199999999999998,10.5,25.10000000000001,16.0,6.900000000000003,1.8999999999999992,1.0,-2.4492935982947054e-16
2019-03-04,0.317625,0.0,11.5,0.4583333333333333,0.375,0.05813395087500001,0.05609265920833334,0.0,1021.2000000000004,1017.4000000000002,10.300000000000004,2.799999999999999,19.5,15.300000000000006,11.099999999999996,3.900000000000001,0.22252093395631437,0.9749279121818235
2019-03-05,0.26979166666666665,0.0,11.5,0.4583333333333333,0.375,0.04937915937500001,0.047885284374999997,0.5,1017.9000000000002,1010.2999999999996,9.199999999999996,1.1000000000000003,18.300000000000008,16.199999999999992,14.0,3.1,1.0,-2.4492935982947054e-16
2019-03-06,0.26879166666666665,0.0,11.5,0.4583333333333333,0.375,0.04919613237500001,0.04577109070833333,4.599999999999998,1015.5999999999998,1006.7000000000004,22.199999999999992,5.400000000000002,18.39999999999999,14.199999999999994,10.099999999999996,8.099999999999996,0.22252093395631437,0.9749279121818235
2019-03-07,0.23679166666666662,0.0,11.5,0.4583333333333333,0.375,0.04333926837499999,0.03941760170833333,0.0,1018.2000000000004,1013.5999999999998,9.699999999999996,9.099999999999996,18.0,11.199999999999996,4.400000000000001,3.900000000000001,1.0,-2.4492935982947054e-16
2019-03-08,0.2731666666666666,0.0,11.5,0.4583333333333333,0.375,0.04999687549999999,0.04578591716666667,0.0,1024.2000000000005,1015.2000000000004,8.300000000000002,6.099999999999998,19.39999999999999,14.899999999999997,10.400000000000004,2.799999999999999,0.9009688679024196,0.4338837391175581
2019-03-09,0.14979166666666668,1.0,11.5,0.4583333333333333,0.375,0.027415919375000004,0.024707336041666667,0.0,1028.0,1024.2000000000005,9.199999999999996,11.400000000000004,23.10000000000001,15.399999999999997,7.599999999999997,2.5,0.9490557470106683,0.3151082180236208
2019-03-10,0.1835,1.0,11.5,0.4583333333333333,0.375,0.03358545450000001,0.02873824616666666,0.0,1027.4000000000003,1022.5999999999998,5.799999999999998,11.400000000000004,26.700000000000003,17.100000000000005,7.5,1.7000000000000002,0.9269167573460212,0.3752670048793742
2019-03-11,0.15454166666666666,0.0,11.5,0.4583333333333333,0.375,0.02828529762500001,0.025220380958333326,0.0,1024.4000000000003,1021.4000000000002,6.699999999999999,11.400000000000004,28.100000000000012,19.0,10.0,1.1000000000000003,0.9672948630390295,0.2536545839095074
2019-03-12,0.131875,0.0,11.5,0.4583333333333333,0.375,0.024136685625,0.021896352291666667,0.0,1025.0999999999997,1020.5,7.800000000000002,11.400000000000004,25.700000000000003,17.800000000000008,9.900000000000004,2.2000000000000006,1.0,-2.4492935982947054e-16
2019-03-13,0.22887500000000005,0.0,11.5,0.4583333333333333,0.375,0.041890304625000006,0.04022701295833334,0.0,1023.7999999999996,1021.2000000000004,9.699999999999996,11.599999999999996,22.10000000000001,15.0,8.0,3.1,0.9979453927503362,0.0640702199807129
2019-03-14,0.21641666666666667,0.0,11.5,0.4583333333333333,0.375,0.03961009325,0.03805784325,0.0,1025.2999999999995,1021.7999999999996,12.5,11.699999999999996,23.0,15.5,8.0,3.900000000000001,0.9269167573460212,0.3752670048793742
2019-03-15,0.21866666666666668,0.0,11.5,0.4583333333333333,0.375,0.04002190399999999,0.03941777900000001,0.0,1022.5,1018.0,9.699999999999996,11.699999999999996,27.0,17.0,7.099999999999997,3.2999999999999985,0.9269167573460212,0.3752670048793742
2019-03-16,0.12983333333333333,1.0,11.5,0.4583333333333333,0.375,0.0237630055,0.021359255499999997,0.0,1019.4000000000002,1014.7000000000004,8.300000000000002,11.699999999999996,26.100000000000012,16.0,6.0,3.2999999999999985,0.22252093395631437,0.9749279121818235
2019-03-17,0.21987499999999996,1.0,11.5,0.4583333333333333,0.375,0.040243061625,0.039365978291666666,0.0,1018.7000000000004,1013.7999999999996,11.699999999999996,9.300000000000004,25.700000000000003,17.800000000000008,9.900000000000004,3.1,-0.28452758663103234,0.9586678530366609
2019-03-18,0.2327083333333333,0.0,11.5,0.4583333333333333,0.375,0.042591908124999994,0.040407283125000006,0.0,1018.7000000000004,1015.2999999999996,6.699999999999999,10.300000000000004,23.39999999999999,16.300000000000008,9.199999999999996,1.1000000000000003,1.0,-2.4492935982947054e-16
2019-03-19,0.2021666666666667,0.0,11.5,0.4583333333333333,0.375,0.03700195850000001,0.032657583500000004,0.0,1020.4000000000002,1016.5,10.800000000000004,11.699999999999996,22.60000000000001,15.199999999999994,7.900000000000003,3.900000000000001,1.0,-2.4492935982947054e-16
